0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:07 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:07 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:07 +0530] "GET /web2/assets/images/course-video.mp4 HTTP/1.1" 206 6129513
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:16 +0530] "GET /web2/aboutus.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:19 +0530] "GET /web2/contact_us.jsp HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:19 +0530] "GET /web2/all.min.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:15:19 +0530] "GET /web2/style3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:16:09 +0530] "GET /web2/deletesubject.jsp HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:16:27 +0530] "GET /web2/exam.jsp HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:16:50 +0530] "GET /web2/findsubject.jsp HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:10 +0530] "GET /web2/homepage.jsp HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:10 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:10 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:10 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:13 +0530] "GET /web2/aboutus.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:33 +0530] "GET /web2/images.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:38 +0530] "GET /web2/image.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:38 +0530] "GET /web2/1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/index.jsp HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/stylesheet.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/botdetectcaptcha?get=reload-icon HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/botdetectcaptcha?get=sound-icon HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/botdetectcaptcha?get=layout-stylesheet&t=1674217800 HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/botdetectcaptcha?get=script-include&c=loginCaptcha&t=1772dc9ec2f24eda8f9813f92d2b044c HTTP/1.1" 200 29398
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/botdetectcaptcha?get=reload-disabled-icon HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:52 +0530] "GET /web2/botdetectcaptcha?get=sound-disabled-icon HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:17:53 +0530] "GET /web2/botdetectcaptcha?get=image&c=loginCaptcha&t=1772dc9ec2f24eda8f9813f92d2b044c HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:18:22 +0530] "GET /web2/InsertAdmin.jsp HTTP/1.1" 200 5726
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:18:23 +0530] "GET /web2/InsertAdmin.jsp HTTP/1.1" 200 5726
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:18:41 +0530] "GET /web2/insertsubject.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:18:59 +0530] "GET /web2/insertUser.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:19:12 +0530] "GET /web2/InsertUser.jsp HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:19:12 +0530] "GET /web2/InsertUser.jsp HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:19:34 +0530] "GET /web2/login.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:20:06 +0530] "GET /web2/question.jsp HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:27:28 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:27:31 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:31:11 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:31:32 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:32:23 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:33:14 +0530] "GET /web2/scores.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:33:14 +0530] "GET /web2/question.jpg HTTP/1.1" 200 16539
